,Players,Points,Clubs,Position,Start,Goals,A,CS,CS part,Yellow,Red,Sub,CO,Off,Pen SV,Pen M,Goals conceded,Conceded 1+,OG,FirstInitial,Firstname,Surname
26,Sadio Mane,109,LPOOL,Midfielder,24,9,7,0,0,3,1,4,1,15,0,0,0,0,0,S,Sadio,Mane
27,Alexandre Lacazette,108,ARSL,Forward,22,10,3,0,0,1,0,7,6,15,0,0,0,0,0,A,Alexandre,Lacazette
28,Alexis Sanchez,108,ARSL,Forward,25,9,6,0,0,5,0,2,2,10,0,1,0,0,0,A,Alexis,Sanchez
29,Hugo Lloris,103,SPURS,Goalkeeper,30,0,0,13,0,0,0,0,0,0,0,0,26,9,0,H,Hugo,Lloris
30,Luka Milivojevic,103,LCFC,Midfielder,30,10,0,0,0,6,0,2,1,3,0,1,0,0,0,L,Luka,Milivojevic
31,Anthony Martial,101,MUFC,Midfielder,16,9,5,0,0,1,0,13,10,13,0,0,0,0,0,A,Anthony,Martial
32,Jan Vertonghen,101,SPURS,Defender,31,0,0,13,0,4,0,0,0,1,0,0,27,9,0,J,Jan,Vertonghen
33,Thibaut Courtois,100,CHEL,Goalkeeper,30,0,0,13,0,1,0,0,0,0,0,0,28,11,0,T,Thibaut,Courtois
34,Marko Arnautovic,98,WESTHAM,Midfielder,22,9,4,0,0,3,1,4,3,12,0,0,0,0,0,M,Marko,Arnautovic
35,Wayne Rooney,97,EVER,Forward,24,10,2,0,0,5,0,7,4,18,0,3,0,0,0,W,Wayne,Rooney
36,Willian,97,CHEL,Midfielder,18,6,6,0,0,0,0,13,13,9,0,0,0,0,0,W,Willian,Willian
37,Richarlison,96,WFC,Forward,30,5,4,0,0,4,0,3,3,10,0,0,0,0,0,R,Richarlison,Richarlison
38,Nacho Monreal,96,ARSL,Defender,24,4,2,10,0,3,0,1,0,3,0,0,29,15,0,N,Nacho,Monreal
39,Abdoulaye Doucoure,96,WFC,Midfielder,32,7,2,0,0,9,0,0,0,1,0,0,0,0,0,A,Abdoulaye,Doucoure
40,Nick Pope,95,BUR,Goalkeeper,28,0,0,10,1,3,0,4,1,0,1,0,24,6,0,N,Nick,Pope
41,Glenn Murray,95,BHV,Forward,22,11,0,0,0,7,0,8,7,13,0,2,0,0,0,G,Glenn,Murray
42,Jesse Lingard,95,MUFC,Midfielder,17,8,4,0,0,2,0,14,11,14,0,0,0,0,0,J,Jesse,Lingard
43,Salomon Rondon,93,WBFC,Forward,27,6,3,0,0,4,0,5,4,5,0,0,0,0,0,S,Salomon,Rondon
44,Maxim Choupo-Moting,93,STOKEC,Forward,26,5,5,0,0,3,0,5,4,9,0,0,0,0,0,M,Maxim,Choupo-Moting
45,Mesut Ozil,90,ARSL,Midfielder,24,4,8,0,0,4,0,3,2,3,0,0,0,0,0,M,Mesut,Ozil
46,Chris Smalling,90,MUFC,Defender,23,3,0,9,1,3,0,7,1,0,0,0,21,7,0,C,Chris,Smalling
47,Jordan Ayew,89,SWAN,Forward,27,6,2,0,0,1,1,3,3,10,0,0,0,0,0,J,Jordan,Ayew
48,Alfie Mawson,89,SWAN,Defender,32,2,1,9,0,2,0,0,0,0,0,0,45,22,0,A,Alfie,Mawson
49,Jay Rodriguez,89,WBFC,Forward,26,6,1,0,0,2,0,7,6,14,0,0,0,0,0,J,Jay,Rodriguez
50,Jamaal Lascelles,88,NEWU,Defender,26,3,0,8,0,5,0,2,1,1,0,0,26,7,0,J,Jamaal,Lascelles
51,Aaron Mooy,88,HTFC,Midfielder,29,4,4,0,0,4,0,2,2,5,0,0,0,0,0,A,Aaron,Mooy
52,Joshua King,87,BOU,Forward,22,6,3,0,0,2,0,6,6,7,0,0,0,0,0,J,Joshua,King
53,Paul Pogba,87,MUFC,Midfielder,20,5,9,0,0,3,1,1,1,3,0,0,0,0,0,P,Paul,Pogba
54,Marc Albrighton,87,LEICSC,Midfielder,28,2,7,0,0,4,0,4,4,10,0,0,0,0,0,M,Marc,Albrighton
55,Matthew Ryan,87,BHV,Goalkeeper,32,0,0,8,0,0,0,0,0,0,2,0,43,19,0,M,Matthew,Ryan
56,Hector Bellerin,87,ARSL,Defender,30,2,1,10,0,5,0,1,1,1,0,0,43,22,0,H,Hector,Bellerin
57,Antonio Rudiger,87,CHEL,Defender,21,2,1,10,1,4,0,10,2,0,0,0,20,8,0,A,Antonio,Rudiger
58,Harry Maguire,86,LEICSC,Defender,32,2,3,8,0,8,0,0,0,0,0,0,45,21,0,H,Harry,Maguire
59,Gabriel Jesus,86,MCFC,Forward,14,9,3,0,0,3,0,12,9,11,0,1,0,0,0,G,Gabriel,Jesus
60,Aaron Ramsey,86,ARSL,Midfielder,18,6,6,0,0,0,0,2,2,5,0,0,0,0,0,A,Aaron,Ramsey
61,Andros Townsend,86,LCFC,Midfielder,30,2,6,0,0,3,0,2,1,5,0,0,0,0,0,A,Andros,Townsend
62,Marcus Rashford,85,MUFC,Forward,14,6,5,0,0,3,0,17,15,10,0,0,0,0,0,M,Marcus,Rashford
63,Davinson Sanchez,85,SPURS,Defender,25,0,0,11,1,1,1,2,1,2,0,0,19,5,1,D,Davinson,Sanchez
64,Petr Cech,84,ARSL,Goalkeeper,31,0,0,10,0,1,0,0,0,1,1,0,43,22,0,P,Petr,Cech
65,Phil Jones,84,MUFC,Defender,21,0,0,13,0,2,0,1,0,2,0,0,13,5,1,P,Phil,Jones
66,Mame Biram Diouf,83,STOKEC,Forward,25,6,1,0,0,5,0,5,5,9,0,0,0,0,0,M,Mame,Diouf
67,Dominic Calvert-Lewin,83,EVER,Midfielder,18,4,6,0,0,4,0,14,13,5,0,0,0,0,0,D,Dominic,Calvert-Lewin
68,James Tarkowski,83,BUR,Defender,25,0,0,10,0,3,0,0,0,0,0,0,19,4,0,J,James,Tarkowski
69,Callum Wilson,83,BOU,Forward,20,7,2,0,0,0,0,4,2,12,0,0,0,0,0,C,Callum,Wilson
70,Lukasz Fabianski,83,SWAN,Goalkeeper,32,0,0,9,0,0,0,0,0,0,1,0,45,22,0,L,Lukasz,Fabianski
71,Stephen Ward,83,BUR,Defender,22,1,1,8,1,0,0,1,0,2,0,0,16,3,0,S,Stephen,Ward
72,Ben Mee,82,BUR,Defender,29,0,0,9,0,5,0,0,0,0,0,0,27,7,0,B,Ben,Mee
73,Joe Allen,82,STOKEC,Midfielder,31,2,6,0,0,8,0,1,0,2,0,0,0,0,0,J,Joe,Allen
74,Steve Mounie,82,HTFC,Forward,17,8,1,0,0,2,0,12,7,5,0,0,0,0,0,S,Steve,Mounie
75,Johann Berg Gudmundsson,81,BUR,Midfielder,26,2,6,0,0,2,0,4,3,7,0,0,0,0,0,J,Johann,Gudmundsson
76,Philippe Coutinho,80,LPOOL,Midfielder,13,7,6,0,0,0,0,2,1,8,0,0,0,0,0,P,Philippe,Coutinho
77,Kasper Schmeichel,80,LEICSC,Goalkeeper,32,0,0,8,0,2,0,0,0,0,2,0,45,21,1,K,Kasper,Schmeichel
78,Jonas Lossl,79,HTFC,Goalkeeper,33,0,1,8,0,0,0,0,0,0,2,0,54,29,1,J,Jonas,Lossl
79,Shkodran Mustafi,79,ARSL,Defender,22,3,1,8,1,5,0,3,1,2,0,0,27,13,0,S,Shkodran,Mustafi
80,Gylfi Sigurdsson,79,EVER,Midfielder,25,4,3,0,0,2,0,4,2,5,0,0,0,0,0,G,Gylfi,Sigurdsson
81,Kyle Naughton,78,SWAN,Defender,30,0,2,8,1,1,0,0,0,2,0,0,42,21,0,K,Kyle,Naughton
82,Dusan Tadic,78,SOTOM,Midfielder,28,3,3,0,0,4,0,4,2,19,0,0,0,0,0,D,Dusan,Tadic
83,Javier Hernandez,78,WESTHAM,Forward,16,8,0,0,0,3,0,11,9,7,0,0,0,0,0,J,Javier,Hernandez
84,Wilfred Zaha,78,LCFC,Forward,23,5,3,0,0,3,0,1,1,2,0,0,0,0,0,W,Wilfred,Zaha
85,Dejan Lovren,78,LPOOL,Defender,21,1,1,9,2,4,0,8,4,1,0,0,26,12,0,D,Dejan,Lovren
86,Alex Oxlade-Chamberlain,77,ARSL,Midfielder,16,3,5,0,0,2,0,17,17,10,0,0,0,0,0,A,Alex,Oxlade-Chamberlain
87,Dwight Gayle,77,NEWU,Forward,18,5,3,0,0,3,0,12,10,11,0,0,0,0,0,D,Dwight,Gayle
88,Chris Wood,76,BUR,Forward,15,8,1,0,0,1,0,5,4,9,0,0,0,0,0,C,Chris,Wood
89,Granit Xhaka,76,ARSL,Midfielder,31,1,5,0,0,7,0,1,1,7,0,0,0,0,0,G,Granit,Xhaka
90,Shinji Okazaki,76,LEICSC,Forward,16,6,2,0,0,2,0,12,10,14,0,0,0,0,0,S,Shinji,Okazaki
91,Fernandinho,76,MCFC,Midfielder,29,3,3,0,0,7,0,1,1,5,0,0,0,0,0,F,Fernandinho,Fernandinho
92,Ayoze Perez,76,NEWU,Forward,22,4,3,0,0,2,0,10,8,11,0,0,0,0,1,A,Ayoze,Perez
93,Matt Ritchie,76,NEWU,Midfielder,27,2,5,0,0,5,0,5,2,8,0,0,0,0,0,M,Matt,Ritchie
94,Jordan Ibe,75,BOU,Midfielder,19,2,6,0,0,0,0,11,9,12,0,0,0,0,0,J,Jordan,Ibe
95,Jordan Pickford,75,EVER,Goalkeeper,33,0,0,8,0,0,0,0,0,0,1,0,53,28,0,J,Jordan,Pickford
96,Ahmed Hegazi,75,WBFC,Defender,33,2,0,7,0,3,0,0,0,1,0,0,52,26,0,A,Ahmed,Hegazi
97,Nathan Ake,75,BOU,Defender,32,2,3,5,0,4,0,1,1,1,0,0,53,25,0,N,Nathan,Ake
98,Ashley Barnes,74,BUR,Forward,16,7,0,0,0,8,0,16,15,4,0,0,0,0,0,A,Ashley,Barnes
99,Joel Matip,74,LPOOL,Defender,22,1,0,9,1,3,0,4,3,0,0,0,28,13,0,J,Joel,Matip
100,Juan Mata,74,MUFC,Midfielder,20,3,5,0,0,1,0,11,5,16,0,0,0,0,0,J,Juan,Mata
101,Henrikh Mkhitaryan,73,MUFC,Midfielder,16,2,9,0,0,2,0,7,6,14,0,0,0,0,0,H,Henrikh,Mkhitaryan
102,Aaron Cresswell,72,WESTHAM,Defender,29,0,6,8,0,5,0,2,1,4,0,0,54,32,0,A,Aaron,Cresswell
103,Jose Izquierdo,72,BHV,Forward,18,4,3,0,0,2,0,12,9,8,0,0,0,0,0,J,Jose,Izquierdo
104,Andrew Robertson,72,LPOOL,Defender,19,0,4,7,1,2,0,3,0,2,0,0,17,6,0,A,Andrew,Robertson
105,Matthew Lowton,72,BUR,Defender,19,0,3,7,0,1,0,9,1,0,0,0,16,3,0,M,Matthew,Lowton
106,Bernardo Silva,71,MCFC,Midfielder,12,4,3,0,0,0,0,20,18,5,0,0,0,0,0,B,Bernardo,Silva
107,Martin Olsson,71,SWAN,Defender,30,0,1,8,1,5,0,0,0,2,0,0,42,21,0,M,Martin,Olsson
108,Jeff Hendrick,71,BUR,Midfielder,27,2,2,0,0,1,0,2,2,16,0,0,0,0,0,J,Jeff,Hendrick
109,Andreas Christensen,70,CHEL,Defender,20,0,0,6,5,0,0,10,4,6,0,0,21,8,0,A,Andreas,Christensen
110,Emre Can,70,LPOOL,Midfielder,24,3,4,0,0,7,0,5,2,5,0,0,0,0,0,E,Emre,Can
111,Jack Cork,70,BUR,Midfielder,32,2,1,0,0,7,0,0,0,0,0,0,0,0,0,J,Jack,Cork
112,Laurent Depoitre,70,HTFC,Forward,17,5,1,0,0,1,0,13,9,3,0,0,0,0,0,L,Laurent,Depoitre
113,Charlie Daniels,70,BOU,Defender,29,1,2,5,0,0,0,2,1,4,0,0,45,20,0,C,Charlie,Daniels
114,Tammy Abraham,69,SWAN,Forward,15,5,1,0,0,0,0,13,11,6,0,0,0,0,0,T,Tammy,Abraham
115,Laurent Koscielny,69,ARSL,Defender,24,2,0,8,0,4,0,1,0,2,0,0,33,17,0,L,Laurent,Koscielny
116,Christian Benteke,68,LCFC,Forward,24,2,5,0,0,5,0,2,2,3,0,1,0,0,0,C,Christian,Benteke
117,Mathias Jorgensen,68,HTFC,Defender,33,0,1,8,0,4,0,0,0,0,0,0,54,29,0,M,Mathias,Jorgensen
118,Serge Aurier,68,SPURS,Defender,15,2,2,6,1,2,0,12,1,1,0,0,12,3,0,S,Serge,Aurier
119,Ryan Fraser,68,BOU,Midfielder,18,4,3,0,0,0,0,12,3,7,0,0,0,0,0,R,Ryan,Fraser
120,Cheikhou Kouyate,68,WESTHAM,Midfielder,26,2,3,0,0,4,0,1,1,5,0,0,0,0,0,C,Cheikhou,Kouyate
121,Shane Duffy,67,BHV,Defender,31,0,1,7,0,7,0,0,0,1,0,0,43,19,0,S,Shane,Duffy
122,Joseph Gomez,67,LPOOL,Defender,19,0,2,8,1,3,0,8,2,0,0,0,22,10,0,J,Joseph,Gomez
123,Troy Deeney,66,WFC,Forward,17,5,2,0,0,1,1,8,7,4,0,1,0,0,0,T,Troy,Deeney
124,Christopher Schindler,66,HTFC,Defender,32,0,1,8,0,7,0,0,0,1,0,0,50,26,0,C,Christopher,Schindler
125,Oumar Niasse,66,EVER,Forward,9,7,2,0,0,2,0,16,9,6,0,0,0,0,0,O,Oumar,Niasse
126,Junior Stanislas,66,BOU,Midfielder,17,5,2,0,0,1,0,2,2,12,0,0,0,0,0,J,Junior,Stanislas
127,Pedro Rodriguez,65,CHEL,Midfielder,15,4,2,0,0,1,0,14,10,11,0,0,0,0,0,P,Pedro,Rodriguez
128,Dale Stephens,65,BHV,Midfielder,30,0,3,0,0,4,0,0,0,0,0,0,0,0,0,D,Dale,Stephens
129,Davy Propper,65,BHV,Midfielder,32,0,2,0,0,2,1,0,0,1,0,0,0,0,0,D,Davy,Propper
130,Asmir Begovic,64,BOU,Goalkeeper,33,0,0,5,0,2,0,0,0,0,1,0,53,25,0,A,Asmir,Begovic
131,Ben Foster,64,WBFC,Goalkeeper,32,0,0,7,0,2,0,0,0,0,0,0,51,26,0,B,Ben,Foster
132,Andre Gray,64,WFC,Forward,13,4,2,0,0,1,0,20,13,9,0,0,0,0,0,A,Andre,Gray
133,Manuel Lanzini,64,WESTHAM,Midfielder,19,3,5,0,0,4,0,2,2,6,0,1,0,0,0,M,Manuel,Lanzini
134,Joselu,64,NEWU,Forward,19,4,1,0,0,2,0,10,7,15,0,1,0,0,0,J,Joselu,Joselu
135,Lewis Dunk,64,BHV,Defender,32,1,0,8,0,6,0,0,0,0,0,0,43,19,4,L,Lewis,Dunk
136,Kieran Trippier,64,SPURS,Defender,17,0,3,6,1,1,0,13,3,2,0,0,20,7,0,K,Kieran,Trippier
137,Federico Fernandez,63,SWAN,Defender,26,1,1,7,0,4,0,3,0,0,0,0,37,18,1,F,Federico,Fernandez
138,Roberto Pereyra,63,WFC,Midfielder,14,4,1,0,0,2,0,14,14,10,0,0,0,0,0,R,Roberto,Pereyra
139,Ryan Bertrand,63,SOTOM,Defender,29,0,3,4,1,2,0,0,0,1,0,0,44,20,0,R,Ryan,Bertrand
140,James Ward-Prowse,63,SOTOM,Midfielder,18,3,2,0,0,1,0,13,7,8,0,0,0,0,0,J,James,Ward-Prowse
141,Nemanja Matic,63,MUFC,Midfielder,32,1,0,0,0,6,0,0,0,2,0,0,0,0,0,N,Nemanja,Matic
142,Wilfred Ndidi,63,LEICSC,Midfielder,31,0,3,0,0,8,0,0,0,0,0,0,0,0,0,W,Wilfred,Ndidi
143,Eric Dier,63,SPURS,Midfielder,29,0,2,0,0,3,0,3,2,5,0,0,0,0,0,E,Eric,Dier
144,Rajiv Van La Parra,62,HTFC,Midfielder,23,3,0,0,0,2,1,7,6,12,0,0,0,0,0,R,Rajiv,Parra
145,Gary Cahill,62,CHEL,Defender,19,0,0,7,3,0,1,9,3,1,0,0,22,10,0,G,Gary,Cahill
146,Sam Clucas,62,SWAN,Midfielder,21,3,1,0,0,2,0,9,4,7,0,0,0,0,0,S,Sam,Clucas
147,Christian Atsu,62,NEWU,Midfielder,19,2,2,0,0,1,0,9,9,7,0,0,0,0,0,C,Christian,Atsu
148,Ashley Young,62,MUFC,Midfielder,24,2,3,0,0,6,0,2,1,5,0,0,0,0,0,A,Ashley,Young
149,Thomas Ince,62,HTFC,Midfielder,26,1,0,0,0,0,0,7,5,9,0,0,0,0,0,T,Thomas,Ince
150,Tom Carroll,62,SWAN,Midfielder,24,0,3,0,0,2,0,8,7,7,0,0,0,0,0,T,Tom,Carroll
151,Danny Welbeck,62,ARSL,Forward,10,5,2,0,0,1,0,14,12,5,0,0,0,0,0,D,Danny,Welbeck
152,Danilo,62,MCFC,Defender,10,2,1,5,4,2,0,22,8,2,0,0,14,5,0,D,Danilo,Danilo
153,James McArthur,61,LCFC,Midfielder,22,3,0,0,0,4,0,8,6,6,0,0,0,0,0,J,James,McArthur
154,N'Golo Kante,61,CHEL,Midfielder,28,1,1,0,0,3,0,0,0,4,0,0,0,0,0,N,N'Golo,Kante
155,Anthony Knockaert,60,BHV,Midfielder,22,3,1,0,0,4,1,6,5,10,0,0,0,0,0,A,Anthony,Knockaert
156,Francesc Fabregas,60,CHEL,Midfielder,21,1,4,0,0,5,0,9,6,7,0,0,0,0,0,F,Francesc,Fabregas
157,Alex Iwobi,60,ARSL,Forward,16,2,5,0,0,1,0,14,4,13,0,0,0,0,0,A,Alex,Iwobi
158,Victor Moses,59,CHEL,Midfielder,21,2,2,0,0,1,0,6,2,10,0,0,0,0,0,V,Victor,Moses
159,Charlie Austin,58,SOTOM,Forward,6,7,0,0,0,1,0,13,12,4,0,0,0,0,0,C,Charlie,Austin
160,Demarai Gray,58,LEICSC,Midfielder,13,3,1,0,0,2,0,19,16,8,0,0,0,0,0,D,Demarai,Gray
161,DeAndre Yedlin,58,NEWU,Defender,26,0,1,6,0,4,0,3,2,0,0,0,38,16,1,D,DeAndre,Yedlin
162,Andrew Surman,58,BOU,Midfielder,17,2,4,0,0,1,0,14,3,0,0,0,0,0,0,A,Andrew,Surman
163,Sead Kolasinac,58,ARSL,Midfielder,21,1,4,0,0,3,0,10,2,4,0,0,0,0,0,S,Sead,Kolasinac
164,Darren Fletcher,58,STOKEC,Midfielder,25,1,1,0,0,0,0,5,0,6,0,0,0,0,0,D,Darren,Fletcher
165,Cedric Soares,58,SOTOM,Defender,26,0,2,5,0,1,0,0,0,3,0,0,40,19,0,C,Cedric,Soares
166,Georginio Wijnaldum,57,LPOOL,Midfielder,22,1,1,0,0,1,0,8,6,6,0,0,0,0,0,G,Georginio,Wijnaldum
167,Idrissa Gana Gueye,57,EVER,Midfielder,27,1,1,0,0,6,0,2,1,6,0,0,0,0,0,I,Idrissa,Gueye
168,Kurt Zouma,57,STOKEC,Defender,28,1,0,5,0,1,0,1,1,1,0,0,48,24,0,K,Kurt,Zouma
169,Jonny Evans,57,WBFC,Defender,26,2,2,4,1,7,0,0,0,4,0,0,40,19,1,J,Jonny,Evans
170,Wes Morgan,56,LEICSC,Defender,27,0,0,5,1,4,0,0,0,1,0,0,37,16,0,W,Wes,Morgan
171,Peter Crouch,56,STOKEC,Forward,10,3,2,0,0,1,0,20,16,2,0,0,0,0,0,P,Peter,Crouch
172,Mike van der Hoorn,56,SWAN,Defender,20,1,0,5,2,2,0,11,0,7,0,0,24,11,0,M,Mike,Hoorn
173,Bruno Saltor,56,BHV,Defender,19,0,0,7,1,3,0,10,2,2,0,0,24,11,0,B,Bruno,Saltor
174,Simon Mignolet,56,LPOOL,Goalkeeper,19,0,0,7,0,3,0,13,0,0,1,0,24,12,0,S,Simon,Mignolet
175,Loris Karius,56,LPOOL,Goalkeeper,14,0,0,7,0,1,0,19,0,0,1,0,11,4,0,L,Loris,Karius
176,Pablo Zabaleta,55,WESTHAM,Defender,31,0,0,8,0,8,0,0,0,2,0,0,54,31,0,P,Pablo,Zabaleta
177,Mark Noble,55,WESTHAM,Midfielder,22,3,0,0,0,5,0,5,1,5,0,0,0,0,0,M,Mark,Noble
178,Steve Cook,55,BOU,Defender,26,2,1,4,0,4,0,6,3,2,0,0,50,25,0,S,Steve,Cook
179,Manolo Gabbiadini,55,SOTOM,Forward,11,4,0,0,0,2,0,21,15,8,0,0,0,0,0,M,Manolo,Gabbiadini
180,Ragnar Klavan,55,LPOOL,Defender,14,1,0,7,0,0,0,11,2,0,0,0,17,8,0,R,Ragnar,Klavan
181,Andre Ayew,55,WESTHAM,Forward,13,3,3,0,0,4,0,15,11,8,0,1,0,0,0,A,Andre,Ayew
182,Tiemoue Bakayoko,55,CHEL,Midfielder,20,2,1,0,0,3,0,8,5,3,0,0,0,0,0,T,Tiemoue,Bakayoko
183,James Tomkins,54,LCFC,Defender,22,2,0,5,0,5,0,7,1,2,0,0,34,16,0,J,James,Tomkins
184,Steven Davis,54,SOTOM,Midfielder,17,3,0,0,0,0,0,10,5,6,0,0,0,0,0,S,Steven,Davis
185,Michail Antonio,54,WESTHAM,Midfielder,16,3,1,0,0,1,0,5,5,8,0,0,0,0,0,M,Michail,Antonio
186,Matthew Phillips,53,WBFC,Midfielder,19,1,2,0,0,3,0,8,7,8,0,0,0,0,0,M,Matthew,Phillips
187,Oriol Romeu,53,SOTOM,Midfielder,28,1,0,0,0,8,0,3,0,6,0,0,0,0,0,O,Oriol,Romeu
188,Jake Livermore,53,WBFC,Midfielder,25,0,1,0,0,4,0,4,4,5,0,0,0,0,0,J,Jake,Livermore
189,Kieran Gibbs,53,WBFC,Defender,27,0,1,4,1,1,0,1,1,4,0,0,45,22,0,K,Kieran,Gibbs
190,Chris Brunt,53,WBFC,Midfielder,17,0,6,0,0,3,0,13,4,5,0,0,0,0,0,C,Chris,Brunt
191,Virgil van Dijk,53,SOTOM,Defender,20,0,0,5,1,0,0,4,1,0,0,0,25,10,0,V,Virgil,Dijk
192,Craig Dawson,52,WBFC,Defender,23,2,0,4,1,5,0,1,0,1,0,0,35,17,0,C,Craig,Dawson
193,Sofiane Boufal,52,SOTOM,Midfielder,11,2,2,0,0,1,0,20,15,8,0,0,0,0,0,S,Sofiane,Boufal
194,Cuco Martina,52,EVER,Defender,20,0,2,5,1,2,0,10,1,1,0,0,30,15,0,C,Cuco,Martina
195,Solomon March,52,BHV,Midfielder,17,1,1,0,0,3,0,15,13,8,0,0,0,0,0,S,Solomon,March
196,Maya Yoshida,52,SOTOM,Defender,18,2,0,5,0,1,0,9,1,1,0,0,28,14,0,M,Maya,Yoshida
197,Andre Carrillo,52,WFC,Midfielder,16,1,2,0,0,2,0,14,11,8,0,0,0,0,0,A,Andre,Carrillo
198,Nathan Redmond,52,SOTOM,Midfielder,19,0,3,0,0,2,0,11,7,6,0,0,0,0,0,N,Nathan,Redmond
199,Sam Vokes,52,BUR,Forward,7,4,1,0,0,2,0,24,17,3,0,0,0,0,0,S,Sam,Vokes
200,Mohamed Diame,51,NEWU,Midfielder,17,2,0,0,0,1,0,14,8,6,0,0,0,0,0,M,Mohamed,Diame
201,Sung-Yueng Ki,51,SWAN,Midfielder,16,2,2,0,0,1,0,4,4,2,0,0,0,0,0,S,Sung-Yueng,Ki
202,Gareth Barry,51,WBFC,Midfielder,22,1,1,0,0,4,0,3,3,6,0,0,0,0,0,G,Gareth,Barry
203,Ciaran Clark,51,NEWU,Defender,19,2,1,4,0,3,0,12,1,0,0,0,30,14,0,C,Ciaran,Clark
204,Tom Cleverley,51,WFC,Midfielder,22,1,2,0,0,3,0,1,1,4,0,1,0,0,0,T,Tom,Cleverley
205,Jordan Henderson,50,LPOOL,Midfielder,21,1,1,0,0,1,0,5,1,4,0,0,0,0,0,J,Jordan,Henderson
206,Olivier Giroud,49,ARSL,Forward,3,4,1,0,0,0,0,22,20,2,0,0,0,0,0,O,Olivier,Giroud
207,Ilkay Gundogan,49,MCFC,Midfielder,10,3,1,0,0,3,0,18,14,4,0,0,0,0,0,I,Ilkay,Gundogan
208,John Stones,49,MCFC,Defender,14,0,0,5,2,0,0,6,2,4,0,0,14,5,0,J,John,Stones
209,Steven Defour,49,BUR,Midfielder,24,1,1,0,0,7,0,0,0,12,0,0,0,0,0,S,Steven,Defour
210,Jermain Defoe,49,BOU,Forward,10,4,0,0,0,1,0,11,10,7,0,0,0,0,0,J,Jermain,Defoe
211,Shane Long,49,SOTOM,Forward,13,2,2,0,0,4,0,14,11,9,0,0,0,0,0,S,Shane,Long
